"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 26 14:47:38 IST 2025","Sun Oct 26 14:47:38 IST 2025","426","Suite","CrtCustomerTest","prjct.nine.testcases.CreateCustomerTest","prjct.nine.testcases.CreateCustomerTest","validateCreateCustomerBasicAuthByInValidSecretKey","validateCreateCustomerBasicAuthByInValidSecretKey",""
"passed","Sun Oct 26 14:47:40 IST 2025","Sun Oct 26 14:47:40 IST 2025","751","Suite","CrtCustomerTest","prjct.nine.testcases.CreateCustomerTest","prjct.nine.testcases.CreateCustomerTest","validateCreateCustomerBasicAuthByValidSecretKey","validateCreateCustomerBasicAuthByValidSecretKey",""
"broken","Sun Oct 26 14:47:41 IST 2025","Sun Oct 26 14:47:41 IST 2025","0","Suite","DelCustomerTest","prjct.nine.testcases.DeleteCustomerTest","prjct.nine.testcases.DeleteCustomerTest","createOrder","createOrder",""
"passed","Sun Oct 26 14:47:39 IST 2025","Sun Oct 26 14:47:40 IST 2025","798","Suite","CrtCustomerTest","prjct.nine.testcases.CreateCustomerTest","prjct.nine.testcases.CreateCustomerTest","validateCreateCustomerBasicAuthByValidSecretKey","validateCreateCustomerBasicAuthByValidSecretKey",""
"passed","Sun Oct 26 14:47:38 IST 2025","Sun Oct 26 14:47:39 IST 2025","777","Suite","CrtCustomerTest","prjct.nine.testcases.CreateCustomerTest","prjct.nine.testcases.CreateCustomerTest","validateCreateCustomerBasicAuthByValidSecretKey","validateCreateCustomerBasicAuthByValidSecretKey",""
"broken","Sun Oct 26 14:47:41 IST 2025","Sun Oct 26 14:47:41 IST 2025","2","Suite","DelCustomerTest","prjct.nine.testcases.DeleteCustomerTest","prjct.nine.testcases.DeleteCustomerTest","validateAccessToken","validateAccessToken",""
"broken","Sun Oct 26 14:04:52 IST 2025","Sun Oct 26 14:04:52 IST 2025","0","Suite","DelCustomerTest","prjct.nine.testcases.DeleteCustomerTest","prjct.nine.testcases.DeleteCustomerTest","validationOff","validationOff",""
"passed","Sun Oct 26 14:47:40 IST 2025","Sun Oct 26 14:47:41 IST 2025","753","Suite","CrtCustomerTest","prjct.nine.testcases.CreateCustomerTest","prjct.nine.testcases.CreateCustomerTest","validateCreateCustomerBasicAuthByValidSecretKey","validateCreateCustomerBasicAuthByValidSecretKey",""
"passed","Sun Oct 26 14:47:36 IST 2025","Sun Oct 26 14:47:38 IST 2025","1106","Suite","CrtCustomerTest","prjct.nine.testcases.CreateCustomerTest","prjct.nine.testcases.CreateCustomerTest","validateCreateCustomerBasicAuthByInValidSecretKey","validateCreateCustomerBasicAuthByInValidSecretKey",""
